ID,FechaHora,NombreResponsable,Area,Circuito_Corregido,Estructura_Tag_Corregido,Latitud_Manual,Longitud_Manual,Apoyo_Tipo,Apoyo_Subtipo,Configuracion,Disposicion,ResistenciaPlaca,PesoPlaca,Templete_Observaciones,Aislador_Tipo,Aislador_A,Aislador_B,Aislador_C,DSD,DPS,DPS_A,DPS_B,DPS_C,Seccionador,Reconectador,Linepost,Transformador,PT,CT,Fusible,Mufa,Enrollamiento_Cable,Observaciones_Equipos,Afloramiento,Conectores_Afloramiento,Tuberia_Afloramiento,Cable,SPT_Bajante,SPT_Conexion,SPT_Cantidad,SPT_Estado,Herrajes_Accesorios,Cable_De_Guarda
276,20/10/2025 11:06,GEOPARK,JACANA ,TISE -TIE TR2,TSE-TIE68,4.385.371,-72.709.382,Poste,Concreto,Pullover (Cruce vertical),,1350,2600,,Ceramica (Aislador de suspensión),8,8,8,,No,,,,No,No,No,No,No,No,No,No,No,,No,,,No,Cable desnudo,Sí,1,Bueno,Herrajes,Sí
277,20/10/2025 11:10,GEOPARK,JACANA ,TISE -TIE TR2,TSE-TIE69,4.385.106,-72.709.005,Poste,Concreto,Suspensión,Canadiense,1350,2990,,Ceramica (Aislador de suspensión),4,4,4,,No,,,,No,No,No,No,No,No,No,No,No,,No,,,No,Cable desnudo,Sí,1,Bueno,Herrajes,Sí
278,20/10/2025 11:15,GEOPARK,JACANA ,TISE -TIE TR2,TSE-TIE70,4.384.632,-72.708.348,Poste,Concreto,Retención (Corte),Canadiense,1350,2300,Discos,Ceramica (Aislador de suspensión),8,8,8,,No,,,,No,No,No,No,No,No,No,No,No,,No,,,No,Cable desnudo,Sí,2,Bueno,Herrajes,Sí
279,20/10/2025 13:45,GEOPARK,JACANA ,TISE -TIE TR2,TSE-TIE37,43.716.736,-727.187.554,Poste,Concreto,Pullover (Cruce vertical),,1350,2500,,Ceramica (Aislador de suspensión),8,8,8,,No,,,,No,No,No,No,No,No,No,No,No,,No,,,No,Cable desnudo,Sí,1,Bueno,Herrajes,Sí
,15/10/2025 8:18,GEOPARK,JACANA ,TISE -TIE TR2,TSE-TIE77,4.381.513,-72.704.078,Poste,Concreto,Retención (Corte),,1350,2990,Discos,Ceramica (Aislador de suspensión),8,8,8,,No,,,,No,No,No,No,No,No,No,No,No,,No,,,No,Cable desnudo,Sí,1,Bueno,Herrajes,Sí
,15/10/2025 8:15,GEOPARK,JACANA ,TISE -TIE TR2,TSE-TIE78,4.381.502,-72.703.233,Poste,Concreto,Retención (Corte),,1350,2990,Discos,Ceramica (Aislador de suspensión),8,8,8,,No,,,,No,No,No,No,No,No,No,No,No,,No,,,No,Cable desnudo,Sí,1,Bueno,Herrajes,Sí
225,19/10/2025 7:57,GEOPARK,JACANA ,TIG -TISE / TISE - TIE TR1,TIG-TISE01,43.720.056,-727.176.222,Poste,Concreto,Pullover (Cruce vertical),,1350,2990,,Ceramica (Aislador de suspensión),8,8,8,,No,,,,No,No,No,No,No,No,No,No,No,,No,,,No,Cable desnudo,Sí,1,Bueno,Herrajes,Sí
226,19/10/2025 8:05,GEOPARK,JACANA ,TIG -TISE / TISE - TIE TR1,TIG-TISE02,4.372.425,-72.718.071,Poste,Concreto,Pullover (Cruce vertical),,1350,2990,,Ceramica (Aislador de suspensión),8,8,8,,No,,,,No,No,No,No,No,No,No,No,No,,No,,,No,Cable desnudo,Sí,1,Bueno,Herrajes,Sí
280,20/10/2025 13:46,GEOPARK,JACANA ,TIG -TISE / TISE - TIE TR1,TIG-TISE03,43.716.709,-727.187.509,Poste,Concreto,Pullover (Cruce vertical),,1350,2600,,Ceramica (Aislador de suspensión),8,8,8,,No,,,,No,No,No,No,No,No,No,No,No,,No,,,No,Cable desnudo,Sí,1,Bueno,Herrajes,Sí
23,15/10/2025 9:06,GEOPARK,JACANA ,JCB - TIE,JCB-TIE24,4.385.111,-72.708.705,Poste,Concreto,Retención (Corte),Canadiense,1350,2990,Discos,Ceramica (Aislador de suspensión),8,8,8,,Sí,1,1,1,No,No,No,No,No,No,No,No,No,,No,,,No,Cable desnudo,Sí,1,Bueno,Herrajes,Sí
282,20/10/2025 13:59,GEOPARK,JACANA ,TIG -TISE / TISE - TIE TR1,TIG-TISE05 Y TSE-TIE35,4.370.081,-7.271.947,Poste,Concreto,Suspensión,Canadiense,1350,2300,,Ceramica (Aislador de suspensión),8,8,8,,No,,,,No,No,No,No,No,No,No,No,No,,No,,,No,Cable desnudo,Sí,1,Bueno,Herrajes,Sí
283,20/10/2025 14:06,GEOPARK,JACANA ,TIG -TISE / TISE - TIE TR1,TIG-TISE06 Y TSE-TIE34,43.693.417,-727.200.917,Poste,Concreto,Retención (Corte),Canadiense,1350,3200,Discos,Ceramica (Aislador de suspensión),16,16,16,,No,,,,No,No,No,No,No,No,No,No,No,,No,,,No,No,,,,,Sí
284,20/10/2025 14:09,GEOPARK,JACANA ,TIG -TISE / TISE - TIE TR1,TIG-TISE07 TSE-TIE33,43.685.972,-72.720.674,Poste,Concreto,Retención (Corte),Canadiense,1350,3200,Discos,Ceramica (Aislador de suspensión),16,16,16,,No,,,,No,No,No,No,No,No,No,No,No,,No,,,No,Cable desnudo,Sí,1,Bueno,Herrajes,Sí
